Description,Cause,Suggestion
 •对设备进行每日巡检时，连续使用displaycpu-usage命令查看CPU的占用率，CPU占 执行#displaycpu-usa(用率明显比日常平均值高。)gesummary命令显示最近5秒、1分钟、5分钟内CPU占用率 的平均值。 <Sysname>displaycpu-usagesummary CPULast5secLast1minLast5min 05%5%4% #执行displaycpu-usagehistory命令以图表的方式显示最近60个采样点的CPU占用率，观察到CPU占用率持续在增长或者明显比日常平均值高。 •通过Telnet/SSH等方式登录设备，并执行命令行时，设备反应缓慢，出现卡顿现象。 •设备上打印CPU占用率高的相关日志。 ,"本类故障的常见原因主要包括： •协议震荡，通常为STP震荡、路由协议震荡等。 •网络环路。 •设备产生海量日志，设备生成和管理这些日志需要占用大量CPU资源。 3.故障分析 本类故障的诊断流程如图4-4所示。 图4-4CPU占用率高的故障诊断流程图 4.处理步骤 (1)确认设备是否出现协议震荡。协议震荡会导致设备不断地处理协议报文、计算拓扑、更新表项，引起CPU占用率高。在实际应用中，最常见的协议震荡为STP协议震荡和OSPF协议震荡。 对于STP协议震荡，在系统视图执行stpport-log命令打开端口状态变化日志显示开关，如果命令行界面频繁输出以下日志，则说明出现了STP协议震荡。 STP/6/STP_DETECTED_TC:Instance0'sportGigabitEthernet1/0/1detectedatopologychange. STP/6/STP_DISCARDING:Instance0'sportGigabitEthernet1/0/1hasbeensettodiscardingstate. STP/6/STP_NOTIFIED_TC:Instance0'sportGigabitEthernet1/0/1wasnotifiedatopologychange. −如果STP协议震荡，请先排除STP协议震荡问题。 对(−)OSPF协议震荡，执行于displayip(如果STP协议没有震荡，则继续定位。)routing-table命令，查看路由信息。如果路由表项中相同网段的路由条目被频繁反复地创建和删除，则表示路由震荡。 −如果路由震荡，或者路由一直不存在，则先排除链路问题和IGP路由问题。−如果路由没有震荡，则执行步骤（2）。 (2)确认是否存在网络环路。 当以太网接口工作在二层模式并且链路存在环路时，可能出现广播风暴和网络振荡。大量的协议报文上送CPU处理，从而导致CPU占用率升高。当存在网络环路时，设备很多端口的流量会明显变大，且广播和组播报文占比较大。可通过以下步骤来确认设备是否存在网络环路，设备是否存在广播、组播、未知单播报文风暴。a.清除接口的统计信息。 <Sysname>resetcountersinterface b.多次执行displaycountersrateinboundinterface命令查看端口使用率是否 明显增大。 <Sysname>displaycountersrateinboundinterfaceUsage:Bandwidthutilizationinpercentage InterfaceUsage(%)Total(pps)Broadcast(pps)Multicast(pps)GE5/3/00.017---- MGE0/31/00.011----MGE0/32/00.015----VMC1/1/00.0560---- VMC1/2/00.0452---- Overflow:Morethan14digits.--:Notsupported. c.如果端口使用率明显增大，可继续多次执行displaycountersinboundinterface 命令查看接口收到的总报文数、广播和组播报文的数量，分别对应显示信息中Total(pkt)、Broadcast(pkt)、Multicast(pkt)字段的取值。如果广播和组播报文的增长速度快，广播、组播报文在接口收到的总报文数中占比大，则可能出现广播/组播风暴。如果广播和组播报文数量没有明显增加，但是接口收到的总报文数明显增加，则可能出现未知单播报文风暴。 <Sysname>displaycountersinboundinterface InterfaceTotal(pkt)Broadcast(pkt)Multicast(pkt)Err(pkt)GE5/3/0141271110MGE0/31/0274866476960-- MGE0/32/010630346848082--VMC1/1/0111577977274558500 VMC1/2/096538985619640520 Overflow:Morethan14digits(7digitsforcolumn""Err""). --:Notsupported. 如链路出现环路，可进行如下处理： −排查链路连接，避免物理拓扑出现环路。 −使用displaystp命令检查STP协议是否使能，配置是否正确。如果配置错误，请 −使用displ(修改配置。)aystpbrief和displaystpabnormal-port命令检查邻接设备STP状态是否正常。请根据displaystpabnormal-port命令显示信息中的BlockReason字段的取值，定位并解决STP异常问题。如STP配置均正确，可能为STP协议计算错误或协议计算正确但端口驱动层没有正常Block阻塞，可以在发生环路的接口上执行shutdown/undoshutdown命令或者拔插网线让STP重新计算来快速恢复STP功能，消除环路。 −在以太网接口视图下，使用broadcast-suppression命令开启端口广播风暴抑制功能，使用multicast-suppression命令开启端口组播风暴抑制功能，使用unicast-suppression命令开启端口未知单播风暴抑制功能。或者使用flow-control命令配置流量控制功能。 如未出现环，请执行步骤(3）。 (3)确认设备当前是否正在生成海量日志。某些异常情况下，例如，设备受到攻击、运行中发生了错误、端口频繁Up/Down等，设备会不停地产生诊断信息或日志信息。此时系统软件要频繁的读写存储器，会造成CPU占用率升高。 允许日志信息输出到当前终端。 <Sysname>terminalmonitor Thecurrentterminalisenabledtodisplaylogs. 配置该命令后，如果有大量异常日志或者重复日志输出到命令行界面，则说明设备正在生 重复执行dis(成海量日志。)playlogbuffersummary命令，如果日志信息总量有明显的增加，再使用displaylogbufferreverse命令查看日志详情，确认是否有大量异常日志或者某一条信息大量重复出现。 <Sysname>displaylogbuffersummary EMERGALERTCRITERRORWARNNOTIFINFODEBUG 002924121280 0004172820 004211147400 <Sysname>displaylogbufferreverse Logbuffer:Enabled Maxbuffersize:1024 Actualbuffersize:512 Droppedmessages:0 Overwrittenmessages:0 Currentmessages:410 %Jan1508:17:24:2592021SysnameSHELL/6/SHELL_CMD: -Line=vty0-IPAddr=192.168.2.108-User=**;Commandisdisplaylogbuffer %Jan1508:17:19:7432021SysnameSHELL/4/SHELL_CMD_MATCHFAIL: -User=**-IPAddr=192.168.2.108;Commanddisplaylogfileinviewshellfailedtobematched. ... 如果设备正在生成海量日志，可以通过以下方法减少日志的生成： ess命令禁止指定模块日志的输出。 使用info-centerloggingsuppressduplicates命令开启重复日志抑制功能。如果设备未生成海量日志，则执行步骤（4）。 (4)收集CPU占用率相关信息，找到CPU占用率高的业务模块。 a.确定对CPU占用率高的任务。 #在设备上执行displayprocesscpu命令查看一段时间内占用CPU最多的任务。 <Sysname>displayprocesscpu CPUutilizationin5secs:0.5%;1min:0.6%;5mins:0.4% JID5Sec1Min5MinName 10.0%0.0%0.0%scmd ...如果某个进程的CPU占用率高于3%（经验值供参考），则需要针对该进程继续定位。#在设备上执行monitorprocessdumbtty命令实时查看进程在指定CPU上的占用率。 <Sysname>system-view [Sysname]monitorprocessdumbtty 319processes;411threads;2093fdsThreadstates:1running,410sleeping,0stopped,0zombieCPU0:90.10%idle,4.50%user,5.40%kernel,0.00%interrupt,0.00%stealCPU1:99.10%idle,0.00%user,0.90%kernel,0.00%interrupt,0.00%stealCPU2:100.00%idle,0.00%user,0.00%kernel,0.00%interrupt,0.00%stealCPU3:100.00%idle,0.00%user,0.00%kernel,0.00%interrupt,0.00%stealMemory:967Mtotal,381Mavailable,pagesize4KJIDPIDPRIStateFDsMEMHH:MM:SSCPUName856856120S2014956K00:03:281.42%diagd11120S1918764K00:00:160.15%scmd294294120S00K00:02:150.15%[kworker/1:1 … −在monitorprocessdumbtty命令显示信息中找到CPU占用率超过3%（经验值供参考）的进程的JID，再对这些进程执行displayprocessjob命令，收集进程的详细信息，并确认该进程是否运行在控制核上。 如果displayprocessjob命令的显示信息中LAST_CPU字段的取值为控制核的编号（例如0～1），则说明该进程运行在CPU控制核上，则需要进一步定位；如果显示信息中LAST_CPU字段的取值为非控制核的编号，则说明该进程运行在CPU转发核上，无需关注，请执行步骤（5）。下面以pppd进程为例，通过显示信息可以看到，该进程包含多个线程，这些线程都运行在控制核上。 <Sysname>displayprocessnamepppd JobID:515PID:515 ParentJID:1 ParentPID:1 Executablepath:/sbin/pppd Instance:0 Respawn:ON Respawncount:1 Max.spawnsperminute:12 Laststarted:WedNov309:52:002021 Processstate:sleeping Max.core:1 ARGS:--MaxTotalLimit=2000000 --MaxIfLimit=65534--CmdOption=0x01047fbf--bSaveRunDb--pppoechastenflag=1 --pppoechastennum=6--pppoechastenperiod=60--pppoechastenblocktime=300 --pppchastenflag=1--pppchastennum=6--pppchastenperiod=60 --pppchastenblocktime=300--PppoeKChasten--bSoftRateLimit--RateLimitToken=2048 TIDLAST_CPUStackPRIStateHH:MM:SS:MSECName 5150136K115S0:0:0:90pppd 5490136K115S0:0:0:0ppp_misc 5570136K115S0:0:0:10ppp_chasten 6100136K115S0:0:0:0ppp_work0 6111136K115S0:0:0:0ppp_work1 6121136K115S0:0:0:0ppp_work2 6131136K115S0:0:0:0mp_main 6181136K115S0:0:0:110pppoes_main 6191136K115S0:0:0:100pppoes_mesh 6201136K115S0:0:0:120l2tp_mesh6211136K115S0:0:0:20l2tp_main −对于运行在控制核、CPU占用率超过5%的进程，查看进程的Name字段的取值来确定该进程是否为用户态进程。 如果Process的Name取值中包含“[]”，表示它是内核线程，无需执行monitorthreaddumbtty命令；如果Process的Name取值中未包含“[]”，表示它是用户态进程，它可能包含多个线程。对于多线程的用户态进程，还需要对该用户态进程执行monitorthreaddumbtty命令，如果显示信息中某线程LAST_CPU字段的取值为CPU控制核的编号，且CPU字段取值大于5%，则该线程可能为导致CPU控制核占用率高的线程，需要进一步定位。 <Sysname>monitorthreaddumbtty 206processes;342threads;5134fds Threadstates:4running,338sleeping,0stopped,0zombie CPU0:98.06%idle,0.97%user,0.97%kernel,0.00%interrupt,0.00%steal CPU1:97.12%idle,0.96%user,0.96%kernel,0.96%interrupt,0.00%steal CPU2:0.00%idle,0.00%user,100.00%kernel,0.00%interrupt,0.00%stealCPU3:0.00%idle,0.00%user,100.00%kernel,0.00%interrupt,0.00%steal CPU4:0.00%idle,0.00%user,100.00%kernel,0.00%interrupt,0.00%steal Memory:7940Mtotal,5315Mavailable,pagesize4K JIDTIDLAST_CPUPRIStateHH:MM:SSMAXCPUName 3223222115R00:04:21020.15%[kdrvfwdd2]3233233115R00:04:21020.15%[kdrvfwdd3] 3243244115R00:04:21020.15%[kdrvfwdd4] 111120S00:00:02210.19%scmd 3763761120S00:00:0010.19%diagd 220120S00:00:0000.00%[kthreadd] ... b.确认异常任务的调用栈。 在Probe视图下执行followjob命令确认异常任务的调用栈。下面以Sysname上pppd进程（进程编号为515）的操作为例。 <Sysname>system-view [Sysname]probe [Sysname-probe]followjob515 Attachingtoprocess515(pppd) Iteration1of5 ------------------------------ ThreadLWP515:Switches:3205 Userstack: #00x00007fdc2a3aaa8cinepoll_wait+0x14/0x2e #10x0000000000441745inppp_EpollSched+0x35/0x5c #20x0000000000000004in?? Kernelstack: [<ffffffff811f0573>]ep_poll+0x2f3/0x370 [<ffffffff811f06c0>]SyS_epoll_wait+0xd0/0xe0 [<ffffffff814aed79>]system_call_fastpath+0x16/0x1b[<ffffffffffffffff>]0xffffffffffffffff ThreadLWP549:Switches:20 Userstack: #00x00007fdc2a3aaa8cinepoll_wait+0x14/0x2e #10x00000000004435d4inppp_misc_EpollSched+0x44/0x6c Kernelstack: [<ffffffffffffffff>]0xffffffffffffffff ... c.根据a和b步骤找到任务名称，再根据任务名称找到对应的业务模块，定位并处理业务模块的问题。 (5)如果故障仍然未能排除，请收集如下信息，并联系技术支持人员。 上述步骤的执行结果。 设备的配置文件、日志信息、告警信息。 5.告警与日志 相关告警无 相关日志 无 4.4生成树故障处理 4.4.1设备连接成环时业务中断 ",Suggestion not provided
 •用户会话超时时间超时。 •用户闲置切断。 •计费更新失败。 •用户流量达到阈值。 •服务器强制用户下线。 •用户在线探测失败下线。 •用户上线的接口down。,用户在线时长超过会话时长后，设备会触发用户下线。,(1)通过portallogout-recordenable命令，开启Portal用户下线信息记录功能。 (2)检查用户会话超时时间是否超时。如果AAA服务器给Portal用户下发了会话时长，即用户单次在线时长。用户在线时长超过会话时长后，设备会触发用户下线。可通过如下三种方法确认是否因会话超时导致Portal用户下线： ()通过displayportallogout-recor(查看AAA服务器上记录的用户下线记录。)d命令查询用户下线记录。 <Sysname>displayportallogout-recordall Totallogoutrecords:1 Username:gkt UserMAC:0800-2700-94ad Interface:Vlan-interface100UserIPaddress:21.0.0.20 AP:N/A SSID:N/A Userlogintime:2021-07-2911:05:58 Userlogouttime:2021-07-2911:05:58 Logoutreason:Sessiontimeout 在设备上执行debuggingportalerror命令，打开Portal错误调试信息开关。如果设备上打印如下信息，则可以确认因用户会话超时导致Portal用户下线。 *Jul2817:51:20:7742021SysnamePORTAL/7/ERROR:-MDC=1;Sessiontimertimedoutandtheuserwillbeloggedoff.用户会话超时触发的下线属于正常下线，用户重新上线即可。 (3)检查是否为用户闲置切断。如果设备或者AAA服务器授权了用户闲置切断时长，用户上线后，设备会周期性检测用户的流量，若某用户在指定的闲置检测时间内产生的流量小于指定的数据流量，则会被强制下线。可通过如下三种方法确认是否因用户闲置切换功能导致Portal用户下线： ()通过displayportallogout-recor(查看AAA服务器上记录的用户下线记录。)d命令查询用户下线记录。 <Sysname>displayportallogout-recordall Totallogoutrecords:1 Username:gkt UserMAC:0800-2700-94ad Interface:Vlan-interface100 UserIPaddress:21.0.0.20 AP:N/A SSID:N/A Userlogintime:2021-07-2911:05:58Userlogouttime:2021-07-2911:05:58 Logoutreason:Idletimeout 在设备上执行debuggingportalerror命令，打开Portal错误调试信息开关。如果设备上打印如下信息，则可以确认因用户会话超时导致Portal用户下线。 *Jul2817:51:20:7742021SysnamePORTAL/7/ERROR:-MDC=1;Idle-cuttimertimedoutandtheuserwillbeloggedoff.用户闲置切断触发的下线属于正常下线，用户重新上线即可。 (4)检查是否为计费更新失败。远程Portal认证用户上线，设备会定期向AAA服务器发送计费更新报文。当设备与AAA服务器链路不通或者服务器故障时，计费更新报文会发送失败。当达到最大重传次数后，如果计费更新报文还是发送失败并且设备上配置了用户计费更新失败策略（通过accountingupdate-failoffline命令配置），则触发用户下线。可通过如下方法确认是否因计费更新失败导致用户下线： 通过displayportallogout-record命令查询用户下线记录。 <Sysname>displayportallogout-recordall Totallogoutrecords:1 Username:gkt UserMAC:0800-2700-94ad Interface:Vlan-interface100 UserIPaddress:21.0.0.20 AP:N/A SSID:N/A Userlogintime:2021-07-2911:05:58 Userlogouttime:2021-07-2911:05:58Logoutreason:Accountingupdatefailure 通过displayinterface查看设备上连接AAA服务器的端口是否发生过变化，检查AAA服务器否有异常记录等。或者通过displayradiusscheme命令显示的State字段查看服务器状态是否为Block，如果是，则可能是计费更新失败导致的下线。 在设备上执行debuggingportalerror命令，打开Portal错误调试信息开关。如果设备上打印如下信息，则可以确认因用户会话超时导致Portal用户下线。 *Jul2817:51:20:7742021SysnamePORTAL/7/ERROR:-MDC=1;Processedaccounting-updatefailedanduserlogout. 如果确认是计费更新失败导致的用户下线，请检查设备与服务器之间的链路状态，以及设备和AAA服务器的相关计费配置是否发生过更改。 (5)检查是否为用户流量达到阈值。用户上线时，如果AAA服务器下发了流量阈值，当用户的流量超过AAA服务器下发的流量阈值时，设备就会强制用户下线。可通过如下方法确认是否因用户流量达到阈值导致用户下线： ()通过displayportallogout-recor(查看AAA服务器上记录的用户下线记录。)d命令查询用户下线记录。 <Sysname>displayportallogout-recordall Totallogoutrecords:1 Username:gkt UserMAC:0800-2700-94ad Interface:Vlan-interface100 UserIPaddress:21.0.0.20 AP:N/A SSID:N/A Userlogintime:2021-07-2911:05:58 Userlogouttime:2021-07-2911:05:58 Logoutreason:Usertrafficreachedthreshold 用户流量达到阈值触发的下线属于正常下线，用户重新上线即可。 (6)检查是否为AAA服务器主动踢用户下线。设备上开启了RADIUSsessioncontrol功能后，若收到AAA服务器的断开连接请求，则会立马强制对应的用户下线。首先查看设备上是否开启了（通过radiussession-controlenable命令配置）。如果开启了，则可以通过如下方法查看是否因AAA服务器强制用户下线导致用户下线： ()通过displayportallogout-recor(查看AAA服务器上记录的用户下线记录。)d命令查询用户下线记录。 <Sysname>displayportallogout-recordall Totallogoutrecords:1 Username:gkt UserMAC:0800-2700-94ad Interface:Vlan-interface100 UserIPaddress:21.0.0.20 AP:N/A SSID:N/A Userlogintime:2021-07-2911:05:58 Userlogouttime:2021-07-2911:05:58 Logoutreason:ForcelogoutbyRADIUSserver服务器为何强制用户下线，请联系服务器管理员进行确认。 (7)检查是否为Portal用户在线探测失败导致用户下线。 如果设备上开启了Portal用户在线探测功能（通过portaluser-detect命令配置），设备会定期向用户终端发送探测报文。若在指定探测次数内，设备未收到终端的回应，则强制用户下线。确认设备上是否开启了Portal用户在线探测功能。如果开启了，则可以通过如下方法确认是否因用户在线探测失败导致用户下线： ()通过displayportallogout-recor(查看AAA服务器上记录的用户下线记录。)d命令查询用户下线记录。 <Sysname>displayportallogout-recordall Totallogoutrecords:1 Username:gkt UserMAC:0800-2700-94ad Interface:Vlan-interface100UserIPaddress:21.0.0.20 AP:N/A SSID:N/A Userlogintime:2021-07-2911:05:58 Userlogouttime:2021-07-2911:05:58 Logoutreason:Userdetectionfailure 如果确认是因Portal用户在线探测导致用户下线，请检查终端和设备之间的链路状态，排查终端没有回应探测报文的原因。 (8)检查Portal用户上线的接口是否down。如果Portal用户上线的接口down了一段时间后，设备会强制从该接口接入的Portal用户全部下线。 可通过如下方法确认是否因接口down导致用户下线： 查看AAA服务器上的用户下线记录。 通过displayinterface命令查看接口的状态是否发生过变化，如果发生变化的时间正好和用户下线的时间接近，则可能是接口down触发的用户下线。 通过displayportallogout-record命令查询用户下线记录。 <Sysname>displayportallogout-recordall Totallogoutrecords:1 Username:gkt UserMAC:0800-2700-94ad Interface:Vlan-interface100 UserIPaddress:21.0.0.20 AP:N/ASSID:N/A Userlogintime:2021-07-2911:05:58 Userlogouttime:2021-07-2911:05:58 Logoutreason:Interfacedown 如果确认是接口down导致的下线，请排查接口down的原因，如网线口松动等。 (9)如果故障仍然未能排除，请收集如下信息，并联系技术支持人员。 上述步骤的执行结果。 设备的配置文件、日志信息、告警信息。 Portal服务器上Portal相关配置截图。 AAA服务器上记录的用户下线记录。 设备与服务器间的抓包文件。 调试信息。 4.告警与日志 相关告警无 相关日志无 4.11MAC地址认证故障处理 4.11.1MAC地址认证失败 
(1)Client不停的在几个AP间漫游； (2)Client漫游困难，Client原来关联的AP信号已经很差，但Client仍然不会主动漫游到信号较好的AP上。 ,如果Client不停的在几个AP间漫游，需要将Client的漫游主动性（漫游趋势或漫游灵敏度，仅部分网卡支持，请以网卡的实际情况为准）调低。,•如果Client不停的在几个AP间漫游，需要将Client的漫游主动性（漫游趋势或漫游灵敏度，仅部分网卡支持，请以网卡的实际情况为准）调低。 •如果Client漫游困难，需要将Client的漫游主动性（漫游趋势或漫游灵敏度，仅部分网卡支持，请以网卡的实际情况为准）调高。 4.11802.1X远程服务器认证失败问题 
(1)FITAP启用本地转发后，在AC上可以看到AP状态为“Run”，但是大约30秒后又切换为 “Idle”状态； (2)在设备上可以看到如下打印信息： %Aug1110:25:04:2252018H3CCWS/4/CWS_AP_DOWN:CAPWAPtunneltoAPa4fa-7679-b390wentdown.Reason:Failedtoretransmitmessage. %Aug1110:25:04:2732018H3CAPMGR/6/APMGR_AP_OFFLINE:APa4fa-7679-b390wentoffline.StatechangedtoIdle. ,这是由于下发到FITAP的本地配置文件将上行以太网接口的PVID修改了，不再是原来的VLAN1，最终导致AP和AC不通，AC的状态机超时，并断开连接。因此需要修改本地转发文件，保证上行接口PVID为1。 •目前FITAP使用VLAN1获取地址并和AC进行连接，所以必须保证AP上使用VLAN1能够成功从网络中获取地址，也就是上行口必须支持VLAN1。 •如果FITAP上行交换机为AP分配地址不在VLAN1中，则FITAP上行接口的PVID必须配置为VLAN1。 •如果FITAP上行交换机为AP分配地址在VLAN1中，且要将FITAP上行接口PVID修改为其他的VLAN，则FITAP上行接口必须设置支持VLAN1，而且为tag方式，同时上行交换机也必须保证接口为VLAN1的tag方式。 •对于无线用户接入的VLAN，尽量在FITAP上行接口使用tag方式，否则属于PVID的无线用户报文将在上行交换机被接入到上行交换机接口的PVID的VLAN中。 4.3主、备AC切换，主AC无法回切 ,这是由于下发到FITAP的本地配置文件将上行以太网接口的PVID修改了，不再是原来的VLAN1，最终导致AP和AC不通，AC的状态机超时，并断开连接。因此需要修改本地转发文件，保证上行接口PVID为1。 •目前FITAP使用VLAN1获取地址并和AC进行连接，所以必须保证AP上使用VLAN1能够成功从网络中获取地址，也就是上行口必须支持VLAN1。 •如果FITAP上行交换机为AP分配地址不在VLAN1中，则FITAP上行接口的PVID必须配置为VLAN1。 •如果FITAP上行交换机为AP分配地址在VLAN1中，且要将FITAP上行接口PVID修改为其他的VLAN，则FITAP上行接口必须设置支持VLAN1，而且为tag方式，同时上行交换机也必须保证接口为VLAN1的tag方式。 •对于无线用户接入的VLAN，尽量在FITAP上行接口使用tag方式，否则属于PVID的无线用户报文将在上行交换机被接入到上行交换机接口的PVID的VLAN中。 4.3主、备AC切换，主AC无法回切 
(1)FITAP无法成功注册到AC上，AC收不到任何该AP的报文，该AP无法动态获取IP地址； (2)使用客户端替换FITAP后，客户端可以成功获取IP地址并使用网络资源； (3)通过抓包和调试可以发现AP已经正常发送了DHCPdiscover报文申请IP地址，然而却没有收到DHCPoffer报文，而通过DHCPserver信息发现已经收到了Discover报文并且回应offer报文。 ,(1)FITAP配置静态IP地址可以和AC互通，并且注册到AC设备上； (2)在DHCPserver位置挂一台PC1，将AP替换成PC2，两台PC都配置静态IP地址（IP地址为DHCPserver要分配的网段地址）； (3)清除两台PC的ARP，此时PC1无法ping通PC2，但是PC2可以ping通PC1； (4)因此可以断定广播上行OK，但是下行不通； (5)通过逐个设备上镜像抓包，确定丢包位置，排查下行广播报文丢失情况。 5.2Client连接到信号较弱的AP，而未连接到信号较强且距离较近的AP ,(1)FITAP配置静态IP地址可以和AC互通，并且注册到AC设备上； (2)在DHCPserver位置挂一台PC1，将AP替换成PC2，两台PC都配置静态IP地址（IP地址为DHCPserver要分配的网段地址）； (3)清除两台PC的ARP，此时PC1无法ping通PC2，但是PC2可以ping通PC1； (4)因此可以断定广播上行OK，但是下行不通； (5)通过逐个设备上镜像抓包，确定丢包位置，排查下行广播报文丢失情况。 5.2Client连接到信号较弱的AP，而未连接到信号较强且距离较近的AP 
(3)检查接口是否震荡。 执行displayinterfacebrief命令，查看Link和Protocol字段。Link和Protocol字段均显示Up，则表示接口状态为Up，否则表示接口状态为Down。若接口一直在Up和Down两种状态间切换，则表示接口震荡。 如果接口震荡，则请参见“接口不UP”故障进行定位。 如果接口没有震荡，请执行步骤(4)。 <Sysname>displayinterfacegigabitethernet1/0/1brief Briefinformationoninterfacesinroutemode: Link:ADM-administrativelydown;Stby-standby Protocol:(s)–spoofing InterfaceLinkProtocolPrimaryIPDescriptionGE1/0/1UPUP-- (4)如果故障仍然未能排除，请收集如下信息，并联系技术支持人员。,Cause not provided,Suggestion not provided
(3)检查路由是否迭代到LSP隧道上。 执行displaymplstunnelall命令，查看所有隧道的信息。执行displayfib命令，查看指定下一跳地址的FIB表项。对于FIB表项中Nexthop字段与隧道信息中Destination字段相同值的FIB表项，检查该FIB表项的LSP索引号（Token字段）与隧道的NHLFEID是否相同。 如果不同，则表示未迭代到LSP隧道上，确认指定FEC的隧道类型（Type字段）与配置的隧道策略是否相同： −如果不同，则在隧道策略视图下修改隧道策略，使配置的隧道策略与指定FEC的隧道类型匹配。 −如果相同，则执行步骤(7)。,Cause not provided,Suggestion not provided
(5)如果故障仍然未能排除，请收集如下信息，并联系技术支持人员。 上述步骤的执行结果。 设备的配置文件、日志信息、告警信息。 5.告警与日志相关告警无 相关日志无 12.3.4配置相同RT的不同VPN之间不能互通 ,Cause not provided,Suggestion not provided
<Sysname>displaybgppeeripv4vpn-instancevpn1BGPlocalrouterID:1.1.1.1 LocalASnumber:100 Totalnumberofpeers:1Peersinestablishedstate:1 *-Dynamicallycreatedpeer PeerASMsgRcvdMsgSentOutQPrefRcvUp/DownState 10.1.1.165410540100:01:19Established (4)检查私网路由是否正常。 执行displayiprouting-tablevpn-instance命令，查看私网路由： 如果私网路由的掩码不是32位，且发现该路由的协议不是BGP协议，则表示两端PE的Loopback接口的IP地址在同一网段，设备将优选直连路由，而不是私网路由。请修改PE上的Loopback接口的IP地址，将掩码修改为为32位。 如果私网路由的掩码是32位，且发现该路由的协议是BGP协议，则私网路由正常，请执行步骤(5)。 <Sysname>displayiprouting-tablevpn-instancevpn1 Summarycount:1 Destination/MaskProtoPreCostNextHopInterface ,Cause not provided,Suggestion not provided
"<Sysname>displayinterfacegigabitethernet3/0/1 GigabitEthernet3/0/1 Currentstate:DOWN Lineprotocolstate:DOWN Description:GigabitEthernet3/0/1Interface Bandwidth:1000000kbps Maximumtransmissionunit:1500 Internetaddress:2.1.1.2/24(primary) IPpacketframetype:EthernetII,hardwareaddress:0000-fc00-9276 IPv6packetframetype:EthernetII,hardwareaddress:0000-fc00-9276 Loopbackisnotset Mediatypeistwistedpair,porthardwaretypeis1000_BASE_T Portpriority:0 1000Mbps-speedmode,full-duplexmode Linkspeedtypeisautonegotiation,linkduplextypeisautonegotiation Flow-controlisnotenabled Maximumframelength:9216 Lastclearingofcounters:Never Peakinputrate:8bytes/sec,at2019-03-1909:20:48 Peakoutputrate:1bytes/sec,at2019-03-1909:16:16 Last300secondinput:0packets/sec0bytes/sec-% Last300secondoutput:0packets/sec0bytes/sec-% Input(total):2892packets,236676bytes 24unicasts,2broadcasts,2866multicasts,0pauses Input(normal):2892packets,-bytes 24unicasts,2broadcasts,2866multicasts,0pauses Input:0inputerrors,0runts,0giants,0throttles 3CRC,0frame,-overruns,0aborts -ignored,-parityerrors Output(total):29packets,1856bytes 24unicasts,5broadcasts,0multicasts,0pauses Output(normal):29packets,-bytes 24unicasts,5broadcasts,0multicasts,0pauses Output:0outputerrors,-underruns,-bufferfailures 0aborts,0deferred,0collisions,0latecollisions 0lostcarrier,-nocarrier 以上显示信息表明，入端口出现了CRC错包。 ",•	端口与电缆连接器物理连接有虚插现象。 •	端口异常。 •	电缆连接器损坏。 •	光模块、光纤有污染或连接不好。 •	光功率不足。 •	中间链路或设备故障。 •	设备或单板硬件故障。 3.	故障分析 本类故障的诊断流程如图18所示。 图18故障诊断流程图 ,(1)	端口进行内部环回检查。 在端口下配置loopbackinternal命令开启内部环回功能，然后通过displayinterface查看端口CRC错包统计是否增长。如果增长，则可能是设备或单板硬件故障，请联系技术支持人员。如果不增长，则不是端口内部问题。 (2)	检查端口与电缆连接器是否有异常。 a.	检查端口和电缆连接器的物理连接是否有虚插。若有虚插，请正确连接端口和电缆连接器。 b.	检查端口是否异常，比如端口内存在异物，端口的PIN针有弯针，端口的外壳变形等异常。 若有异常，需要更换其他正常端口或光模块。 c.	检查电缆连接器是否出现损坏现象。若有损坏现象，请更换电缆。 (3)	检查光模块是否有异常。 a.使用光纤将该端口的光模块Tx端和Rx端连接，然后通过displayinterface查看端口CRC错包统计是否增长。如果增长，则可能是光模块的问题。如果不增长，则不是该光b.通过displ(模块问题。)aytransceiveralarm命令查看光模块是否有Rx_Los或Tx_Fault告警 c.信息，若有aytransceiverdiagnosis通过命令查看(告警信息，需要清洁或更换光纤、光模块。displ)光模块的接收功率和发送功率是否 在规定的最大值和最小值的范围内，若有接收或发送的功率超出范围，需要清洁或更换光纤、光模块。 (4)	更换正常端口测试是否能恢复正常。 更换其他正常的端口测试，如果端口更换后错包消失，端口更换回来错包又再次出现，则为端口硬件故障，请更换端口并将故障信息发送技术支持人员分析；如更换到其他正常端口仍会出现错包，则中间传输链路故障的可能性较大。 (5)	检查中间传输链路是否正常。 使用仪器测试中间链路，链路质量差或者线路光信号衰减过大会导致报文在传输过程中出错。检查互连中间链路设备（光转，转接架，传输等设备）是否正常。若中间传输链路故障，请更 (6)	shutdown执行命令，再(换或恢复中间传输链路。)执行undoshutdown命令，查看端口是否能恢复正常。 (7)	检查端口是否收到大量流控帧 通过displayinterface命令，查看端口pauses帧计数，如果在不断增长，表明端口发出或者收到了大量的流控帧。检查下端口出入流量是否过大及对端设备的流量处理能力。 (8)	如果故障仍然未能排除，可能是设备或单板硬件故障，请收集信息，并联系技术支持人员。 5.告警与日志相关告警无 相关日志无 3.6.2端口不接收报文 
